5 14 12 8 9 16 1 10 11 2 4 19 6 17 3 0 13 15 7 18 | -1 1 2 -1 2 0 2 -1 0 0 1 1 0 -1 0 -1 0 -1 1 2 | -1135.0 105.0 198.0 | 0.0 0.0 0.0 1 1 1 
3 18 1 11 16 19 2 10 15 0 13 4 7 14 6 9 5 8 12 17 | 2 0 1 0 2 -1 -1 -1 -1 -1 1 0 -1 2 -1 1 0 -1 0 0 | -979.0 69.0 139.0 | 42.0 66.0 48.0 1 1 1 
11 16 3 1 14 5 15 2 13 0 8 7 17 12 19 18 9 4 10 6 | 2 0 1 0 -1 1 -1 -1 2 -1 -1 0 -1 2 0 1 0 -1 -1 -1 | -993.0 73.0 103.0 | 52.0 51.0 39.0 1 1 1 
1 6 3 16 13 5 4 18 17 7 2 19 10 11 8 0 14 15 9 12 | -1 0 2 0 1 1 0 1 -1 -1 2 2 -1 0 -1 -1 0 1 0 2 | -1133.0 93.0 201.0 | 1.0 1.0 0.0 1 1 1 
11 16 3 1 14 5 15 2 13 0 6 8 17 7 9 18 10 4 12 19 | 2 0 1 0 -1 1 2 -1 -1 -1 -1 0 -1 2 0 1 0 -1 -1 -1 | -1004.0 72.0 107.0 | 52.0 51.0 28.0 1 1 1 
14 5 13 6 11 19 8 7 0 10 1 16 12 17 2 4 18 3 9 15 | 1 2 -1 -1 -1 0 0 1 1 -1 2 0 -1 0 0 -1 2 -1 -1 1 | -1038.0 88.0 121.0 | 48.0 15.0 34.0 1 1 1 
14 5 13 6 11 19 8 7 10 16 2 3 1 12 17 4 0 9 18 15 | -1 -1 2 2 -1 0 0 1 1 -1 1 0 -1 0 0 -1 2 -1 -1 1 | -1018.0 81.0 122.0 | 48.0 25.0 44.0 1 1 1 
1 5 16 14 11 6 3 0 13 2 15 4 18 17 8 12 19 7 9 10 | 1 0 2 1 -1 0 1 -1 -1 -1 -1 0 -1 2 0 2 0 -1 -1 -1 | -1004.0 80.0 106.0 | 44.0 52.0 35.0 1 1 1 
1 3 12 9 11 16 2 8 10 0 13 7 15 5 14 4 18 6 19 17 | 2 0 1 0 -1 -1 -1 1 1 0 1 0 0 2 -1 2 0 -1 -1 -1 | -1105.0 77.0 174.0 | 2.0 1.0 27.0 1 1 1 
11 16 3 1 14 5 15 2 13 0 4 7 17 12 19 8 9 6 18 10 | 2 0 1 0 2 1 -1 -1 -1 -1 -1 0 -1 2 0 1 0 -1 -1 -1 | -984.0 70.0 107.0 | 52.0 51.0 48.0 1 1 1 
