1 14 16 11 5 15 2 6 0 8 13 19 18 12 10 3 9 17 4 7 | 2 0 1 -1 -1 0 1 -1 2 -1 -1 0 -1 2 0 1 0 -1 -1 -1 | -1003.0 78.0 103.0 | 44.0 49.0 39.0 1 1 1 
13 3 9 15 7 16 17 4 0 14 8 18 1 10 5 19 12 11 2 6 | 1 2 -1 0 1 -1 -1 0 1 0 -1 -1 -1 0 2 0 0 1 2 2 | -1135.0 105.0 192.0 | 0.0 0.0 0.0 1 1 1 
3 11 13 1 19 18 2 15 8 0 16 10 4 9 5 12 6 14 17 7 | 2 0 1 0 -1 -1 -1 -1 1 -1 2 0 -1 0 -1 1 2 -1 0 0 | -988.0 70.0 149.0 | 44.0 60.0 43.0 1 1 1 
9 1 16 5 3 12 8 4 19 15 13 2 18 11 17 14 6 7 0 10 | -1 0 2 0 1 0 -1 -1 1 0 -1 -1 0 2 -1 1 0 2 2 1 | -1120.0 87.0 211.0 | 1.0 10.0 4.0 1 1 1 
17 1 6 4 0 14 5 3 10 16 12 7 15 19 2 11 13 8 18 9 | 0 0 -1 1 0 0 0 2 -1 -1 1 -1 2 -1 1 -1 2 0 2 1 | -1131.0 110.0 190.0 | 0.0 3.0 1.0 1 1 1 
1 14 16 11 5 15 2 6 13 7 0 8 10 17 3 9 12 4 19 18 | 2 0 1 -1 -1 0 1 2 -1 -1 -1 0 -1 2 0 1 0 -1 -1 -1 | -997.0 77.0 104.0 | 44.0 49.0 45.0 1 1 1 
6 14 3 1 16 2 8 10 0 13 4 7 9 19 11 5 17 18 12 15 | 2 0 1 0 1 -1 0 2 1 -1 1 -1 -1 2 0 -1 0 -1 -1 -1 | -1037.0 78.0 118.0 | 49.0 4.0 45.0 1 1 1 
1 14 3 11 16 2 8 10 0 13 19 15 4 12 5 6 18 9 7 17 | 2 0 1 0 -1 -1 -1 -1 1 -1 1 0 -1 2 0 2 0 -1 -1 1 | -1033.0 74.0 123.0 | 52.0 23.0 27.0 1 1 1 
11 14 16 1 19 18 3 15 8 0 13 10 4 9 5 12 6 2 17 7 | 2 0 -1 1 -1 -1 -1 -1 1 -1 2 0 -1 2 0 1 0 -1 0 0 | -1007.0 73.0 153.0 | 28.0 55.0 45.0 1 1 1 
1 16 14 7 4 13 8 3 15 12 2 18 9 10 11 17 19 0 6 5 | -1 0 2 1 0 -1 -1 0 1 2 -1 -1 0 1 0 2 0 -1 1 2 | -1130.0 103.0 192.0 | 0.0 4.0 1.0 1 1 1 
13 16 14 7 4 1 8 3 15 12 2 18 9 10 11 6 0 5 17 19 | -1 1 2 1 0 -1 -1 0 1 2 -1 -1 0 0 0 2 0 -1 1 2 | -1130.0 105.0 191.0 | 3.0 1.0 1.0 1 1 1 
6 14 3 1 16 2 8 10 0 13 19 4 7 11 12 9 5 15 17 18 | 2 0 1 0 2 -1 0 -1 1 -1 1 -1 -1 2 0 -1 0 -1 -1 1 | -1015.0 75.0 122.0 | 49.0 23.0 48.0 1 1 1 
1 11 16 14 6 2 8 10 7 13 15 5 4 3 12 0 18 17 9 19 | -1 0 1 -1 -1 2 0 1 1 -1 1 0 -1 2 0 2 0 -1 -1 -1 | -1070.0 80.0 129.0 | 42.0 1.0 22.0 1 1 1 
13 3 9 15 7 16 17 4 0 14 12 1 6 8 5 11 10 18 19 2 | 1 2 -1 0 1 -1 2 0 -1 0 -1 -1 1 0 2 0 0 1 -1 -1 | -1114.0 100.0 169.0 | 0.0 7.0 14.0 1 1 1 
1 14 16 11 5 15 17 4 9 8 0 7 19 13 12 18 3 2 6 10 | 2 0 -1 -1 1 0 -1 2 2 1 -1 0 -1 -1 0 1 0 1 -1 2 | -1088.0 95.0 141.0 | 44.0 3.0 0.0 1 1 1 
1 14 16 11 10 18 3 19 6 8 15 13 0 9 2 12 4 7 5 17 | 2 0 -1 1 -1 -1 1 -1 1 -1 0 0 -1 2 0 2 0 -1 0 1 | -1101.0 85.0 155.0 | 6.0 1.0 27.0 1 1 1 
